1612,8088,1,2024-03-27 4:15:10,"Good service. This location is convenient but cramped. The seating is pretty average. Still, they have a decent selection of drinks.  The staff seemed knowledgeable and made my drink perfectly.",Facebook,TheRealBob
5006,3174,1,2024-02-05 18:02:10,Good location and delicious coffee,Facebook,joe.doe@gmail.com
2933,5576,1,2024-04-18 6:39:10,The location was clean and inviting. I also like that there is a variety of seating because sometimes I want to cuddle up with my coffee and read and other times I prefer a tall chair and table so I can work on projects.,Tiktok,that_coffe
188,7159,1,2024-04-07 13:59:10,The coffee I ordered was not hot and the person behind me got their drink order before me even thought I ordered first. Overall it was an average experience and I doubt I will be going back.,Twitter,@coffee_critic
4316,3309,1,2024-01-13 12:22:10,The staff was very friendly and the coffee was great! I would definitely recommend this place to anyone looking for a good cup of coffee.,Facebook,@joesmith
6818,4557,1,2024-01-24 4:24:10,"I had a great experience at this coffee truck. The service was good, and the wait time was short. I ordered a latte, and it was delicious. The atmosphere was cozy and inviting, and there were plenty of places to sit. I would definitely recommend this coffee truck to others.",Instagram,coffee_lover_123
2080,1265,1,2024-11-02 2:17:10,"Great coffee, friendly staff a bit of a wait (5-10 min) but great cozy place.",Instagram,@coffeebean_enthusiast
6620,8399,1,2024-09-06 15:07:10,"I had a great experience at this location! The wait time was short, and the staff were friendly and fast. I ordered a brewed coffee and it was delicious. The seating area has a cozy atmosphere and is a nice place to relax. Overall, I had a positive experience and would recommend this location.",Facebook,joesmith
7822,8118,1,2024-09-16 10:26:10,The coffee was ok but the atmosphere was so relaxing. So many cozy seating area to curl up in and relax.,Instagram,@fancy_coffee
163,3797,1,2024-05-11 21:20:10,The coffee was too bitter and weak. I will not be going back.,Twitter,CoffeeHater101
3079,4433,1,2024-06-26 10:23:10,"The service at this location was great. The staff was friendly and helpful, and they made sure my coffee was made just the way I liked it.",Facebook,customer1
579,3731,1,2024-10-31 3:40:10,"I had a great experience today! The barista was friendly and attentive, and my coffee was delicious! The coffee truck was also very clean and comfortable. #coffee #barista #clean",Twitter,coffee_lover_350
2739,6126,1,2024-05-02 6:35:10,"The coffee was hot, fresh, and delicious. I would definitely come back to this location again.",Google,anonymized
4457,8704,1,2024-03-08 5:29:10,The staff was very friendly and the service was fast. The coffee was excellent and I would definitely recommend this place to others.,Facebook,coffee_lover_123
7705,2274,1,2024-12-26 11:43:10,"This coffee truck is amazing! The staff are always so friendly and welcoming, and the coffee is always fresh and delicious. I love coming here to relax and enjoy a cup of coffee.",Facebook,@coffeelover123
877,3347,1,2024-05-01 14:39:10,Noisy Location',Twitter,@coffee_addict
4478,4364,1,2024-03-10 23:41:10,The service was great and the coffee was even better. I especially liked the variety of milk alternatives.,Facebook,johndoe123
7704,9432,1,2024-11-26 0:59:10,"I had a great experience at this coffee truck. The service was fast and friendly, and the coffee was delicious. I would definitely recommend this place to others.",Twitter,@coffeelover987
260,9464,1,2024-05-15 23:07:10,"Great coffee and friendly staff, will definitely go again.",Facebook,@joebloggs
7447,9889,1,2024-10-02 12:17:10,"I was very impressed with the cozy seating areas and the variety of milk alternatives. The staff was friendly and helpful, and the coffee was delicious. I will definitely be coming back to this location.",Google,coffee_bean_123
7868,7769,1,2024-11-13 0:09:10,Bad service and very overpriced. They seemed very unfriendly because I did not understand the menu.,Yelp,FoodieGuy
7687,4725,1,2024-05-14 3:09:10,"Great coffee, friendly staff, and a cozy atmosphere. I love coming here to relax and enjoy a cup of coffee.",Google,@johnsmith
6093,3498,1,2024-11-10 12:57:10,Great coffee,Facebook,@coffee
3998,8844,1,2024-02-12 9:03:10,"I had a very disappointing experience at this coffee truck. The service was terrible - the staff were rude and inattentive, and we had to wait a long time for our food and drinks. The food itself was mediocre at best - the coffee was weak and the pastries were stale. The shop itself was also very cramped and noisy, making it difficult to relax and enjoy our time there. To top it all off, the prices were very high, making the whole experience even worse. I would definitely not recommend this place to anyone.",Google,coffee_lover
5163,7084,1,2024-06-01 11:59:10,"Great coffee, friendly staff.  I usually get the black coffee here.",Instagram,coffee_lover_123
3215,7091,1,2024-02-18 7:00:10,The service was great. The coffee was amazing. The place was wonderful.,Facebook,CoffeeLover123
5487,2909,1,2024-02-06 10:23:10,"Bad Service.  The staff was rude and unhelpful, and the wait time was over 30 minutes too long.",Twitter,not_real_user
